title,authors,subject,publish_year,description,rating
All Kinds of Babies,Millicent E. Selsam,baby books,1951,"Some babies don't look like their parents when they are born, but most do. Some are so small it seems incredible they will grow as large as their mother and father.",
What did I look like when I was a baby?,Jeanne Willis,baby books,2000,"A young boy and a series of animals learn that as babies, they looked like little versions of their mothers and fathers, but a young bullfrog is horrified when he is shown a photograph of himself as a tadpole.",
"Hello, baby!","Mem Fox, Steve Jenkins",baby books,2009,A parent questions a child about which kind of animal it is.,
Sea Creatures,"Alexandra Parsons, Angela Royston",baby books,1991,"Explores the habitats, behavior, and anatomy of such sea creatures as the barnacle, starfish, and shark.",
Who Grows Up in the Forest?,Theresa Longenecker,baby books,2002,Who Grows Up Here? - Beautiful drawings and lyrical text take the reader from the tundra to the tropics to discover a whole new world of baby animals.,
Who Grows Up in the Rain Forest?,Theresa Longenecker,baby books,2002,Who Grows Up Here? - Beautiful drawings and lyrical text take the reader from the tundra to the tropics to discover a whole new world of baby animals.,
The childhood of animals,Peter Chalmers Mitchell,baby books,1912,,
The Poky Little Puppy,Janette Sebring Lowrey,baby books,1942,A puppy who is always late coming home one night finds there is no dessert for him.,4.17
Puppy Mudge Finds a Friend,Cynthia Rylant,baby books,2004,Henry's puppy Mudge enjoys playing with Fluffy the cat.,
Puppy Mudge has a snack,Cynthia Rylant,baby books,2003,"When Henry has a snack, his puppy Mudge wants one too.",5.0
Is Your Mama a Llama,Deborah Guarino,baby books,1989,,5.0
The new baby calf,Edith Newlin Chase,baby books,1984,"A baby calf is born, and under his mother's guidance grows happy and fat.",
The Thunderstruck Stork,David J. Olson,baby books,2007,,
Say Daddy!,Michael Shoulders,baby books,2008,"When each family member reads a book to the new baby bear, they each hope that their name will be the baby's first words, but at a family celebration everyone is happily surprised.",
"What's That, Mittens? (My First I Can Read)","Lola M. Schaefer, Susan Kathleen Hartung",baby books,2008,"When Mittens the kitten digs a hole under the fence in the yard, he meets a new friend--Max the dog.",
Animal Babies!,Charles Reasoner,baby books,2011,"Bursting with bright colors and playful illustrations, photographs, and text, this book provides a child-centered look at animals and their young.",
Becoming a Tiger,Susan Mccarthy,baby books,2005,"From the co-author of the New York Times bestseller When Elephants Weep comes a book that uses true stories backed by scientific research to explore the way young animals discover their worlds and learn how to survive.How does a baby animal figure out how to get around in the world? How much of what animals know is instinctive, and how much must they learn?In Becoming a Tiger, bestselling author Susan McCarthy addresses these intriguing matters, presenting fascinating and funny examples of animal behaviour in the laboratory and in the wild. McCarthy shows us how baby animals transform themselves from clueless kittens, clumsy cubs, or scrawny chicks into efficient predators, successful foragers, or deft nestbuilders. From geese to mice, dolphins to orangutans, bats to (of course) tigers, McCarthy's warm, amusing, and insightful examinations of animal life and developments provides a surprising window into the mental worlds of our fine fuzzy, furred, finned, and feathered friends.oReaders will be fascinated by a close look at animal intelligence, learning, and family life.",
No New Pets!,Hans Wilhelm,baby books,2005,Noodles the dog is not happy about the arrival of a new kitten in the house.,
チーズスイートホーム [Chīzu suīto hōmu/Chi's Sweet Home] (2),こなみかなた [Konami Kanata],baby books,2005,"###German-language description
***Chi*** erobert die Herzen im Sturm – neugierig, mutig, frech und süß. Diese Katze muss man einfach gernhaben. Nicht nur für KatzenliebhaberInnen ein Genuss! 
Wer Katzen kennt, wird einen Riesenspaß haben, sich selbst und das Haustier in allen erdenklichen Situationen wiederzuerkennen. Und wer noch keine Katze hat, wird sich vielleicht schnell überlegen, ein kleines Kätzchen anzuschaffen.<br/>
Weitere Informationen:<br/>
- Für Manga-Neulinge jeden Alters 
- Komplett in Farbe und westlicher Leserichtung 
- Abgeschlossen in 12 Bänden  
- Auch bekannt aus dem Anime “Süße Katze Chi” auf Amazon Prime<br/>
*CARLSEN Verlag GmbH, Hamburg*",4.0
ZooBorns,"Andrew Bleiman, Chris EastLand",baby books,2010,"Features full-color photos and fascinating facts on exotic baby animals from every corner of the world. Filled with brand-new species and some beloved favorites, this collection is irresistible to any animal lover. These babies are much more than just adorable furry faces. They are ambassadors for their species in the wild, helping educate about conservation while they entertain.",
Upside Down Babies,"Jeanne Willis, Adrian Reynolds",baby books,2013,,
"Fly, chick, fly!","Jeanne Willis, Tony Ross",baby books,2012,A chick that is reluctant to leave the nest finally learns how to fly.,
"Follow Me, Mittens (My First I Can Read)","Lola M. Schaefer, Susan Kathleen Hartung",baby books,2007,,4.0
Polar Star,Sally Grindley,baby books,1997,"Follows a mother polar bear and her two cubs from their birth to a dangerous encounter with a hungry male bear, describing how the mother protects her offspring until they can fend for themselves.",
Gracie the Lighthouse Cat,Ruth Brown,baby books,2010,"When Gracie discovers that her kitten is missing from their lighthouse home, she goes out into a terrible storm to rescue him.",5.0
An Elephant Grows Up (Wild Animals),"Anastasia Suen, Michael Denman, William Huiett",baby books,2005,"Wild Animals - Stunning artwork and simple text will captivate readers as they learn about the life cycles of wild animals. Follow the path of each animal from birth to becoming an adult, including how they feed, where they live, and how they survive.",
A Baboon Grows Up (Wild Animals),"Anastasia Suen, Michael Denman, William Huiett",baby books,2005,"Wild Animals - Stunning artwork and simple text will captivate readers as they learn about the life cycles of wild animals. Follow the path of each animal from birth to becoming an adult, including how they feed, where they live, and how they survive.",
Cat and Dog,Michael Foreman,baby books,2014,"When Cat is accidentally whisked away in a fish van, her litter of kittens are left to fend for themselves.",
"Goodbye, Mog",Judith Kerr,baby books,2002,,3.0
Puppy parade,"Cecilia Venn, Cecelia Venn",baby books,1998,,
Scaredy cats,Audrey Wood,baby books,1980,"When Mother Cat sends her two youngest kittens to do an errand in town, their imaginations run wild with scary possibilities.",4.0
From Tadpole to Frog,Wendy Pfeffer,baby books,1994,Describes the metamorphosis from tadpole to frog.,5.0
