title,authors,subject,publish_year,description,rating
Simca's cuisine,Simone Beck,cooking,1972,,
What Einstein Told His Cook,Robert L. Wolke,cooking,2002,,3.5
Ratio,"Michael Ruhlman, Michael Ruhlman",cooking,2009,"""Cooking with ratios will unchain you from recipes and set you free. With thirty-three ratios and suggestions for enticing variations, ""Ratio"" is the truth of cooking: basic preparations that teach us how the fundamental ingredients of the kitchen -- water, flour, butter and oils, milk and cream, and eggs -- work. Change the ratio and bread dough becomes pasta dough, cakes become muffins become popovers become crepes.""--Jacket.",4.6
"Standards, principles, and techniques in quantity food production",Lendal Henry Kotschevar,cooking,1964,,
North Carolina and Old Salem cookery,Beth Tartan,cooking,1955,,
The Body in the Attic,Katherine Hall Page,cooking,2004,"Caterer Faith Fairchild and family are living in one of historic Cambridge, Massachusetts', venerable Brattle Street houses while the Reverend Tom teaches a course at the Harvard Divinity School and does some soul searching -- is his Aleford parish his true calling? One night in downtown Boston, Faith is startled by a face from her past. It's Richard Morgan, a former boyfriend from her life as a single woman in Manhattan. Their heady, whirlwind affair in the waning days of the self-indulgent 1980s ended abruptly. Now he's back, as exciting as ever.Then something occurs that turns a pleasant sabbatical into a nightmare -- Faith discovers a diary, written in 1946 and hidden in the attic, that reveals an unspeakable horror. Suddenly dark secrets seem to permeate every room. And with Richard guarding strange secrets of his own, Faith is soon caught up in solving more than one troubling mystery ... with a murderer lurking a little too close to home.",
The holiday cookbook,Culinary Arts Institute.,cooking,1954,,1.0
Making wines like those you buy,"George William Bryan Acton, Bryan Acton, Peter Duncan",cooking,1967,,
The smart shopper's cookbook,Loyta Wooding,cooking,1972,,
The Lindlahr vitamin cookbook,Victor Hugo Lindlahr,cooking,1941,,
The Provence Cookbook,Patricia Wells,cooking,2004,,
Cooking today - eating tomorrow,Jan Hopcraft,cooking,1972,,
The Miller Howe cookbook,John Tovey,cooking,1980,,
Queen of the household,Mary W. Janvrin,cooking,1890,,
The cookie book,Eva Moore,cooking,1973,Twelve recipes--one for a special day in each month.,
The chemistry of cooking and cleaning,Ellen Henrietta Richards,cooking,1882,,
Make it Now--Bake it Later,Barbara Goodfellow,cooking,1965,,
The Ultimate New York Body Plan,David Kirsch,cooking,2005,"'When I need to get in shape fast, I know that David's the man . . .with David, I know I'll get some real results.'--Heidi Klum'I work out with David Kirsch on a regular basis, but I really see his magic when I need to get in shape quickly for a film, event, or photo shoot. He puts  me on a detailed but realistic program, that includes diet, supplements and exercise. Within two weeks I see huge results and feel stronger, healthier and 100 percent better inside and out.'--Liv Tyler, actress'When I first contacted David, I had fiveweeks to get in shape for my first movierole. His attitude and take-no-prisonersapproach was not only inspiring, it wasactually enjoyable! It was more than aworkout; it was a lifestyle change.'--Faith HillThe ultimate body transformation--now with more toolsand inspiration to help you get the envious bodyyou wantPersonal trainer and fitness guru to the stars David Kirsch has whippedinto shape some of the most famous bodies in America. SupermodelsHeidi Klum and Linda Evangelista, as well as celebrities such as Liv Tyler,have turned to David for his foolproof training regimen when they neededto get to their level of optimum fitness--fast. In The Ultimate NewYork Body Plan, David shows you how to burn fat and getfit in only two weeks - just in time for that class reunionor anniversary cruise.",
The healthiest meals on earth,Jonny Bowden,cooking,2008,This is the first cookbook from best-selling author Jonny Bowden! The Healthiest Meals on Earth contains recipes for more than sixty dishes and drinks that use nutritious and healthy cooking methods.,
Easy Cooking for One or Two,Louise Davies,cooking,1972,,
Kids in the Kitchen Cookbook,Lois Levine,cooking,1968,"Recipes for breakfast, main dishes, vegetables, desserts, etc., are divided into three levels of achievement for young cooks--beginner, intermediate, and advanced.",
Cooking without a grain of salt,Elma W. Bagg,cooking,1964,,
The art of Pennsylvania Dutch cooking,Edna Eby Heller,cooking,1968,,
The dieter's gourmet cook book,Sondra Blumenthal,cooking,1972,,
Confessions of an Organic Cook,Kinderlehrer,cooking,1972,,
The children's step by step cookbook,Angela Wilkes,cooking,1994,,
Among friends,M. F. K. Fisher,cooking,1971,"In this poetic, sensitive memoir, M.F.K. Fisher traces her life from birth through childhood into adulthood through memories of her loving family and their lives as outsiders in the Quaker community of Whittier, California. Recalling the people, passions, sounds, and scents of her childhood, with its kindnesses and quiet cruelties, Fisher also portrays her developing interests in literature, food, and cooking. Elegantly and invitingly written, Among Friends demonstrates the writer's belief that ""every lesson, every lecture listened to, must be interpreted into a personal dialect of human language, and that is what I keep trying to do.""",
Wrestling with Gravy,Jonathan Reynolds,cooking,2006,"In this inviting feast of a memoir, former New York Times food columnist Jonathan Reynolds dishes up a life that is by turns hilarious and tender--and seasoned with the zest of cooking, family, eating, and lounging around various tables in tryptophanic stupors. Growing up on Manhattan's Upper East Side, a child of material privilege and emotionally distant parents, young Jonathan discovers that food serves as a catalyst for adventure, a respite from loneliness, and a fail-safe way to navigate his often eccentric surroundings. When Jonathan is thirteen, his uncle Bus, a surrogate father of sorts, treats him to his first fine dining experience, at the old Westbury Hotel on Madison Avenue. The suspicious teen orders pheasant under glass--and from the moment the glass dome is lifted, Reynolds's culinary curiosity takes off. Always absorbing, often hilarious, and surprisingly affecting, Wrestling with Gravy is full of wonderful characters and anecdotes. With droll self-effacement and a sharp eye for detail, Reynolds relives the time that his own father made a move on his girlfriend during a meal at Maxim's in Paris; extols the surprising virtues of baseball stadium cuisine (with the exception of New York); and recounts how he once whipped up a seductive meal for a woman, only to have her excuse herself after dessert because she had another date lined up, buffet-style, later in the evening. Even on a glum Christmas day in New York City, or at the deathbed of his dear cousin the actress Lee Remick, food offers solace and a cathartic sense of home.Rare among culinary memoirs, Wrestling with Gravy speaks eloquently about food without affectation, while striking a note of cosmic comedy and honest regret. And of course, the recipes are all here, too--from a perfect water-smoked Thanksgiving turkey to a barbecued Chinese duck, from an old-fashioned malted to Flaming Babas au Armagnac. Like a truly great meal, Wrestling with Gravy will entertain and satisfy any reader's appetite.For five years, Jonathan Reynolds brought oxygen to the food page of The New York Times Magazine. He was smart and buoyant as he rummaged around in memory's trunk for food-worthy anecdotes to chew upon. The pieces were highly personal, showcasing his quirks and irreverence as much as any foodstuff. His theatrics (fittingly --- Reynolds is a seasoned actor and playwright) were endearing; no surprise, then, when readers took personal interest in his passage, with its hints of darkness lurking amid the drollery.Reynolds' memoir, ""Wrestling With Gravy,"" is as consistently entertaining, in a grim way, as his columns, unveiling the many familial, romantic and professional land mines he discovered --- too late! --- under nearly every step he took, each fitted with emblematic recipes, balms for his wounds: ""Food is controllable, while most of life isn't.""His father was absent, off performing ""entrepreneurial calisthenics""; his mother was lost to depression. There were boarding school expulsions, and a jail stay prompted by his youthful infatuation with actress Kim Novak. Hollywood was a bitter pill --- ""The stars sip their strawsful of sugarless broth fumes and vapor of fetal watercress leaf helicoptered to their trailers"" --- part and parcel of his ""insanely and unrealistically ambitious"" screenwriting career. Friends and family died; his marriage went south.The gloom is beveled, thankfully, by his children, a guiding-star uncle, a second marriage, sweet playwriting success, all artfully etched with a hand as graceful as his progress clubfooted. (Said clubfoot precedes him during an ill-advised, weirdly nescient chapter analyzing American politics,...",
Company's Coming,Jean Pare,cooking,1981,,
MaryAnn's Favorite Family Recipes,Aru Richardson,cooking,2007,,
The Cancer Nutrition Center Handbook,Carolyn Katzin,cooking,2006,,
Wicked Games (A Jane Lawless Mystery),Ellen Hart,cooking,1998,"""Jane Lawless lives in a rambling, three-story house on Minneapolis's Lake Harriet with her aunt and uncle and, usually, a tenant in the third-floor apartment. Her newest renter is Elliot Beauman, a writer who seems nice but who's just graced the newspapers with an account of a murder he witnessed but didn't see: Elliot says he's psychic, and his latest visions have been of murder."".

""Lately Jane has her hands full in her personal life, wrestling with long hours at the Lyme House Restaurant and a long-distance and often volatile relationship with Julia, whose medical practice keeps her busy and far away."" ""So the last thing Jane needs is a strange man living upstairs in her own home. Little does she know that her troubles are only beginning.""--BOOK JACKET.",
Recipes of all nations,"Morphy, Marcelle Countess.",cooking,1935,,
How to Be the Perfect Housewife,Anthea Turner,cooking,2007,,
"Small Plates, Perfect Wines",Lori Lyn Narlock,cooking,2007,,
Kill It & Grill It,Ted Nugent,cooking,2002,,
Starting from scratch,Patty Kirk,cooking,2007,,
A kid's guide to native American history,Yvonne Wakim Dennis,cooking,2009,"Hands-on activities, games, and crafts introduce children to the diversity of Native American cultures and teach them about the people, experiences, and events that have helped shape America, past and present. Nine geographical areas cover a variety of communities such as the Mohawk in the Northeast, Ojibway in the Midwest, Shoshone in the Great Basin, Apache in the Southwest, Yup'ik in Alaska, and Native Hawaiians. Featuring a look at the lives of notable historical and contemporary individuals, including Chief Joseph and Maria Tallchief, this guide also covers a variety of topics, such as first encounters with Europeans, Indian removal, Mohawk skywalkers, and Navajo code talkers. With activities that highlight the arts, games, food, clothing, unique celebrations, language and lifeways of various nations, kids can make Iroquois corn husk dolls, play Washoe stone jacks, design Inupiat sun goggles, or create a Hawaiian Ma'o-hau-hele Bag. A time line, glossary, and recommendations for websites, books, movies, and museums for further study round out this multicultural guide.",
Make a Banana Treat,Gill Munton,cooking,2000,,
Sam the Chef (Jobs People Do),Felicity Brooks,cooking,2004,,
Kids Can Cook,Dorothy R. Bates,cooking,1987,A collection of meatless recipes to use in preparing a variety of meals as well as party foods.,
"""Simply elegant""",Pearl Gordon,cooking,1970,,
Food not bombs,"C. T. Lawrence Butler, Keith McHenry",cooking,1992,,
Women of the Vine,Deborah Brenner,cooking,2006,"This book takes you on a very different journey to wine country, inviting you to enjoy the remarkable stories of twenty dynamic women in the world of wine. These women share their lives, wine tips, pairings, and most important, enthusiasm for wine while imparting their rich life lessons and wine expertise--a wonderful way to share your love for wine with the enterprising women who help bring it to your table.",
The Usborne Little Children's Cookbook,"Rebecca Gilpin, Catherine Atkinson",cooking,2004,"THIS BOOK IS PACKED WITH DELICIOUS, EASY TO FOLLOW RECIPES. USING SIMPLE INGREDIENTS, THE STEP-BY-STEP INSTRUCTIONS WILL INSPIRE YOU AND HELP YOU DEVELOP YOUR COOKING SKILLS. THIS BOOK HAS SOMETHING FOR EVERYONE, WHETHER YOU WANT TO ROAST A CHICKEN OR BAKE A YUMMY CHOCOLATE CAKE.",
Fabulous Finger Food,Anne Wilson,cooking,1997,,
Eat Up,Mark Hix,cooking,2000,,
The Gastropub Cookbook,Diana Henry,cooking,2003,Recipes from the best gastropubs in England.,
Los fogones de José Andrés,Jose Andres,cooking,2005,,
Big green cookbook,Jackie Newgent,cooking,2009,,
Mayan Cuisine,Daniel Hoyer,cooking,2008,"Welcome to the fascinating cuisine and culture of the Mayan people. Over the centuries, Spain, Europe, Africa, the Middle East, Asia and even the Caribbean have influenced Mayan food. The result is a cuisine that is unique, distinct, and delicious.
Chocolate, tropical fruits, and an abundance of seafood all play an important role is this food. In ""Mayan Cuisine,"" you'll find fresh salsas and soups - like Green Tomatillo Sauce and Sweet Corn and Cilantro Cream Soup; hearty BBQ and meat - like Yucatán BBQ Shrimp and Smoked Pork Loin; and tasty salads and side dishes - like Jicama-Orange Salad and Wild Mushroom Polenta. Creative desserts like Fried Plantains, Mango-Rum Cream, and Pumpkinseed Brittle will satisfy your sweet tooth, while drinks like Tepache (Fermented Pineapple Beverage) and Mayan Hot Chocolate offer comfort and refreshment. 
Whether you have been introduced to a taste of Mayan cooking while vacationing in the Yucatán, Belize, or in the popular resorts of Cancun and Playa del Carmen, or are just interested in expanding your repertoire, ""Mayan Cuisine"" offers fresh, flavorful food to tempt your palate and grace your table. -- from inside flap of front cover.",
Perfect sax,Jerrilyn Farmer,cooking,2004,"Jerrilyn Farmer's #1 LA Times bestselling Madeline Bean Culinary mysteries continue to prove to be scrumptiously hip, savoury, and irresistible. In this mass market reprint of her second hardcover, Mad Bean is at it again as a search for the perfect sax becomes deadly.The dazzling Jazz Ball for the prestigious Woodburn School of Music promises to be event planner Madeline Bean's greatest triumph to date. All the rich and mighty of L.A. society's fund-raising crowd seem to be seriously enjoying the festivities. Of course, then everything goes straight to hell. Having to contend with a heap of celebrity trash, a ranting vocal coach, his rabid bitch of a girlfriend, and duelling preteen music prodigies is bad enough. But when the furious bidding war for the prize item to be auctioned off — a one-of-a-kind, sterling silver Selmer Mark VI tenor saxophone — almost results in bloodshed, and the perfect sax subsequently vanishes, Madeline can't help but wonder what else could possibly go wrong.Well he could arrive home to discover a dead body in her bedroom. Her ex-beau LAPD Detective Chuck Honnett could start making insistent ""take me back"" noises. And then there's the red-haired stranger who seems to be stalking her. All in all, the lethal looniness surrounding the theft of a priceless instrument is threatening to drive Mad quite mad. With the jazz cool, the sax ""hot"", and the martinis smoking, it may drive her quite dead.",
The Glycemic Load Counter,Mabel Blades,cooking,2008,,
Don't Sweat the Aubergine,Nicholas Clee,cooking,2005,,
Olive,Lulu Grimes,cooking,2007,,
A Killing Cure,Ellen Hart,cooking,1993,,
A fork in the trail,Laurie Ann March,cooking,2007,,
Enjoyable Cooking,Robert S. Martino,cooking,2006,,
Let's preserve it,Beryl Wood,cooking,1970,making chutney and preserves and drying fruit,
The something special cook book,Ruth Mellinkoff,cooking,1959,,
To Die For,Janet Neel,cooking,1998,"""Selina Marsh-Hayden and Judith Delves, friends since their days at boarding school, are the working directors of Cafe de la Paix, a fashionable London restaurant. The two women couldn't be more different - Selina is glamorous and beautiful while Judith is hard working and plain - but together they have made Cafe de la Paix so popular that the partners recently opened a second restaurant.""--BOOK JACKET.

""The success of the two restaurants has caught the attention of the Gemini Group, who want to buy them and add them to their own chain. Committed to what they started, Selina and Judith are adamant that they do not want to sell. The other shareholders, however, think differently. Selina's husband Richard is anxious to get the money that the sale would raise and Judith's lover Michael would like nothing more than for Judith to give up her work and devote herself to the running of his beloved country house.

Deadlock is reached. Then Selina is murdered and everything changes.""--BOOK JACKET. ""John McLeish is in charge of the case. His wife, the irrepressible Francesca Wilson, is an acquaintance of Judith Delves, and is drawn into the investigation through this connection. Suddenly, a fire, another attempted murder, and a possible suicide turn life at Cafe de la Paix to chaos.""--BOOK JACKET.",
Sandwiches & snacks,Susannah Blake,cooking,2008,"Provides information about what snacks and sandwiches are and step by step instructions on how to make your own ones. Includes recipes for things such as creamy raita, hummus wrap, classic egg mayo and other delicious items.",
The merchant of Venus,Ellen Hart,cooking,2001,"""A high profile celebrity Hollywood wedding--just the diversion Jane Lawless needs. Recovering from injuries, single again, with the dreaded holidays closing in, Jane happily agrees to attend the soirée with her best friend, Cordelia Thorn. It's not just any wedding--Cordelia's Broadway diva sister, Octavia, is tying the knot for the third time. Nobody knows how Octavia met octogenarian Roland Lester, a reclusive relic of Tinseltown's Golden Age, and the secret has brought out all the paparazzi. When bodies start to fall, it's clear to Jane that the nuptials have brought out something far more sinister.""--Page 4 of cover.",
A Vineyard in the Dordogne,Jeremy Josephs,cooking,2002,,
Feast,Nigella Lawson,cooking,2004,,3.5
My Secret Ingredient,Emily Rose Brott,cooking,2015,,
Great Good Food,Julee Rosso,cooking,1993,,
Indian,Shehzad Husain,cooking,1998,,
The housekeeper's encyclopedia of useful information for the housekeeper in all branches of cooking and domestic economy ...,"Haskell, E. F. Mrs",cooking,1861,,
OCR Home Economics for AS,"Alexis Rickus, Bev Saunder",cooking,2008,,
The new shopper's guide to organic food,Lynda Brown,cooking,2002,,
Trey the Chef,"Kira Parris-Moore, Emily Zieroth, Books2inspire",cooking,2019,,
How to Make Ice Cream,Tom Greve,cooking,2015,,
Kitchen Math,"Katie Marsico, Intuitive Staff",cooking,2017,,
Creating a Common Table in Twentieth-Century Argentina,Rebekah E. Pite,cooking,2013,"""Dona Petrona C. de Gandulfo (c. 1896-1992) reigned as Argentina's preeminent domestic and culinary expert from the 1930s through the 1980s. An enduring culinary icon thanks to her magazine columns, radio programs, and television shows, she was likely second only to Eva Peron in terms of the fame she enjoyed and the adulation she received. Her cookbook garnered tremendous popularity, becoming one of the three best-selling books in Argentina. Dona Petrona capitalized on and contributed to the growing appreciation for women's domestic roles as the Argentine economy expanded and fell into periodic crises. Drawing on a wide range of materials, including her own interviews with Dona Petrona's inner circle and with everyday women and men, Rebekah E. Pite provides a lively social history of twentieth-century Argentina, as exemplified through the fascinating story of Dona Petrona and the homemakers to whom she dedicated her career. Pite's narrative illuminates the important role of food--its consumption, preparation, and production--in daily life, class formation, and national identity. By connecting issues of gender, domestic work, and economic development, Pite brings into focus the critical importance of women's roles as consumers, cooks, and community builders""--",
ROYAL GRAND BERRIES,Ilona Parunakova,cooking,2021,,
Plant Based Juicing and Smoothie Cookbook,Paul Green,cooking,2021,,
How to Build a Bird House,"Anastasia Suen, Colleen Hord",cooking,2015,,
Vegan Asian : a Cookbook,Jeeca Uy,cooking,2021,,
Yogurt Cookbook,"Arto der Haroutunian, Hiltrud Schulz",cooking,2007,,
Our viands,Anne Walbank Buckland,cooking,1893,,
Meat substitutes,Isabel Goodhue,cooking,1907,,
Pot-pourri from a Surrey garden,Maria Theresa Earle,cooking,1898,,
Dream Bites Cookbook,"alexa riley, Suzanne M. Johnson",cooking,2020,,
The porter of Saint Bonaventure's,James Patrick Derum,cooking,1968,,
The blue ribbon cook book,Jennie C. Benedict,cooking,1904,"xv, 168 p. ; 23 cm",
"State railroad commissions, and how they may be made effective",Frederick Converse Clark,cooking,1891,,
Food and femininity,Kate Cairns,cooking,2015,"""Over the space of a few generations, women's relationship with food has changed dramatically. Yet -- despite significant advances in gender equality -- food and femininity remain closely connected in the public imagination as well as the emotional lives of women. While women encounter food-related pressures and pleasures as individuals, the social challenge to perform food femininities remains: as the nurturing mother, the talented home cook, the conscientious consumer, the svelte and health-savvy eater. In Food and Femininity, Kate Cairns and Josée Johnston explore these complex and often emotionally-charged tensions to demonstrate that food is essential to the understanding of femininity today. Drawing on extensive qualitative research in Toronto, they present the voices of over 100 food-oriented men and women from a range of race and class backgrounds. Their research reveals gendered expectations to purchase, prepare, and enjoy food within the context of time crunches, budget restrictions, political commitments, and the pressure to manage health and body weight. The book analyses how women navigate multiple aspects of foodwork for themselves and others, from planning meals, grocery shopping, and feeding children, to navigating conflicting preferences, nutritional and ethical advice, and the often-inequitable division of household labour. What emerges is a world in which women's choices continue to be closely scrutinized -- a world where 'failing' at food is still perceived as a failure of femininity. A compelling rethink of contemporary femininity, this is an indispensable read for anyone interested in the sociology of food, gender studies and consumer culture.""--Publisher's description.",
Japan (World of Recipes),Julie McCulloch,cooking,2001,,
Cooking in Class,"Jay Dale, Emilia Robledo",cooking,2012,,
New Orleans Cookbook from Momma's Kitchen,Eulalie Miscenich Poll,cooking,2010,,
Plant-Based for Life Cookbook,Vicki Brett-Gach,cooking,2021,,
Rude Food,"Kelly Franklin, Nia Gordon, DeAnne Williams",cooking,2021,,
You won't believe it's vegan!,"Lacey Sher, Lacey Sher, Gail Doherty",cooking,2008,,
Puerto Rican cuisine in America,Oswald Rivera,cooking,1993,,
Canoe and camp cookery,H. H. Soulé,cooking,1893,,
Pigs in the Pantry,Amy Axelrod,cooking,1997,Mr. Pig and the piglets try to cook Mrs. Pig's favorite dish to cheer her up when she's sick. Includes a recipe for chili.,
Mrs. Whaley entertains,Emily Whaley,cooking,1998,"Mrs. Whaley's favorite one hundred recipes are accompanied by ""the admonishments Mrs. Whaley passed along to generations of Charleston hosts and hostesses ... juicy little family stories and her priceless explanations of Southern parlance.""--Cover.",
The piemakers,Helen Cresswell,cooking,1967,,
Making my breakfast,Judi Austin,cooking,2004,,
Saucepans and the single girl,Jinx Morgan,cooking,1965,"From the basics of a posh picnic to recipes guaranteed to snare his heart, SAUCEPANS THE SINGLE GIRL is the ideal kitchen guide for todays bachelorette. Originally published in 1965, this hip guide to livingand cookingsingle artfully straddles the line between timeless and outdated. Maintaining the books irresistibly retro appeal, this new edition features the original text with a new introduction and footnotes with important (and often comical) historical updates. LIKE a classic Lily Pulitzer dress brought out again, SAUCEPANS THE SINGLE GIRL is a retro gem that will have women everywhere wondering why its been packed away all this time!",
The home science cook book,"Lincoln, Mary Johnson Bailey ""Mrs. D. A. Lincoln,""",cooking,1902,,
Cooking Greek,"Pemi Kanavos, Tanya Stamoulis",cooking,2022,,
Making the best of basics,James Talmage Stevens,cooking,1975,"Twenty years ago, Making the Best of Basics -- Family Preparedness Handbook became the family preparedness bible for a generation. The '90s have brought their own litany of worries -- company downsizings, severe hurricanes and winter storms, flooding, government shutdowns -- that make in-home storage an attractive proposition again.The recently updated and expanded Ninth Edition of Making the Best of Basics is designed for the urban family. It offers a manageable and effective plan for accumulating, storing, and utilizing an in-home supply of food and other essentials to support a family in a near-normal manner for one year. Basics includes
-- recipes for using stored foods, 
-- a section on common storage problems and solutions, 
-- lists of sources for storage items, 
-- charts to help you determine what and how much you need, as well as chapters on storing and using essentials such as water, wheat, fruits and vegetables, and fuel.
-- Over 350,000 copies of earlier editions sold.
-- This single volume tells you what to store, how to store it, and how to use it.
-- Basics' unique ""Family Factor"" makes determining storage quantities easy.",
"Who's Your Mama, Are You Catholic, and Can You Make A Roux?",Marcelle Bienvenu,cooking,1991,,
Dinner in Minutes,Linda Gassenheimer,cooking,1993,,
Secrets of Stress-Free Entertaining,Chris Cooper,cooking,2022,,
¡Buenos Dias!,"Ericka Sanchez, Nicole Presley",cooking,2023,,
Neighborhood Café,"Fran Ellen Weber, Harold Weber, From My Left Hand, Clarity Designworks",cooking,2022,,
For the Strength of Harlem- Pleas Tusant Pearson,"Janell Pearson, Sherrell Obaji",cooking,2022,,
My Sous Chef,Eli Saliba,cooking,2022,,
Custard's last stand,Tamar Myers,cooking,2003,"Book 11 in the Pennsylvania Dutch Mystery with Recipes series.

From the front and back flaps: 

*Kentucky Colonel George Custard thinks Magdalena's hometown of Hernia, Pennsylvania is perfect... so perfect, in fact, he has decided to build his new mega five-star hotel there. And if everything goes according to plan, roads will be widened and wealthy tourists will start pouring in by the thousands. But not everyone thinks this is such a good idea, because the new superstructure will surely destroy the town's quaint and quite ambience. Meanwhile, Hernia has another unwelcome guest to worry about based on wild reports that Bigfoot is roaming the area.*

*At a town council meeting, several vocal citizens including Magdalena, protest Custard's project. Soon after, the colonel is found murdered--shot to death at the PennDutch Inn. No one minded telling him off, but killing him off is a different story. With the police investigation going nowhere, Magdalena takes it upon herself to find out who caused Custard's last stand. She must stay one step ahead of both the rumors and the builders to solve the case, restore peace--and save her beloved town...* 

*INCLUDES A HALF DOZEN HEAVENLY CUSTARD RECIPES*",
Dragons Love Taco Tuesday,O. M. Wolf,cooking,2022,,
How to cook,Raymond A. Sokolov,cooking,1986,,
Early French cookery,"D. Eleanor Scully, Terence Scully",cooking,1995,,
Cook's Book of Ponder,Ex Coquu,cooking,2022,,
Re-Center Method Natural Diet Soup Book,Hareldau Argyle King,cooking,2022,,
In the Danger Zone,Stefan Gates,cooking,2008,,
COMPANION WORKBOOK for The Only Beginner Freeze Drying Book You'll Ever Need,Micro-Homesteading Education,cooking,2023,,
Vegan Snack Cookbook,Jordan Riley,cooking,2023,,
Ninja Dual Zone Air Fryer Cookbook for UK,"Isabelle Remington, Hanley Knight, Glen Franklin",cooking,2023,,
SuperChef Family Cookbook,"Darnell SuperChef Ferguson, Brad Smith, Eric Bentley - undifferentiated",cooking,2023,,
Gas Fire Heat,Aly Romero,cooking,2024,,
Cooking Made Easy with the Use of Canisters,Tressie Sanders,cooking,2024,,
Budget Gourmet a Handbook for the Survival Chef,Tina Glover,cooking,2023,,
Down-home Texas cooking,James Stroman,cooking,1994,,
Le livre de recettes d'un compagnon du tour de France,Yves Thuriès,cooking,1980,,
The Food Taster,Peter Elbling,cooking,2002,,
Cooking with steam,Stephanie Lyness,cooking,1996,,
The Literary Gourmet,Linda Wolfe,cooking,1962,,
Seasons of Plenty,Emilie Hoppe,cooking,1994,,
"Breakfast, dinner, and tea",Julia C. Andrews,cooking,1859,,
Stardust Highways,Elly Flippen,cooking,2023,,
Grilled 4 Murder,J. C. Eaton,cooking,2022,,
Leaves from the Walnut Tree,"Ann Taruschio, Franco Taruschio",cooking,1993,,
Crazy Healthy with 4 Ingredients,Dee Dine,cooking,2019,,
Seasonal Table,Joanna Quargnali-Linsley,cooking,2020,,
Instant Pot® Electric Pressure Cooker Cookbook,Laurel Randolph,cooking,2016,,
Personalized Living Using the Blood Type Diet ®,"Kristin O'Connor, Peter D#039;Adamo",cooking,2012,,
Garde Manger,Chuck Hughes,cooking,2012,,
Desert Honey,"Elizabeth Wescott, Sharon Bateman, Amy Ramsey",cooking,2021,,
Dish on the Dish,Julie Knutson,cooking,2021,,
Keto Meal Prep,Mark Evans,cooking,2019,,
FROM WHITE TO BLACK,Iris Duplantier Rideau,cooking,2022,,
Fighters Cookbook,"J. I. M. Miller, Fifthweapon Llc",cooking,2022,,
Buttered Berbere,Nebiyu Semunegus,cooking,2022,,
Science in the Kitchen,Hopkins Thomas,cooking,2013,,
Young Cook,American Antiquarian Cookbook,cooking,2014,,
Complete Cook,Sanderson J.M.,cooking,2013,,
Total Abstinence Cookery,A. Lady,cooking,2013,,
Every Body's Cook and Receipt Book,Hardin Philomelia,cooking,2014,,
Salt Block Cooking,Bitterman Mark,cooking,2013,,
The Blood Type Diet Cookbook,Karen Vago,cooking,2002,"Based on the theory that the four different blood groups O, A, B and AB, need four different diets. This cookbook explains the workings of the diets, and contains an easy-to-follow plan, blood type food lists, and over 100 recipes which can be adapted to suit the different blood types.

Based on the theory that the four different blood groups - O, A, B and AB - need four different diets, this cookbook explains the workings of the diets, and contains an easy-to-follow plan; blood type food lists; and over 100 recipes which can be adapted to suit the different blood types.",
Chef Rob Gayle's Favorite Caribbean Delights,Robert Gayle,cooking,2017,,
Delicate Feasting,Theodore Child,cooking,2007,,
Way Kitchens Work,Ed Sobey,cooking,2010,,
How to Cook Everything Summer,Mark Bittman,cooking,2012,,
Elegant but easy,Marian Fox Burros,cooking,1960,,
Honestly Healthy,"Natasha Corrett, Vicki Edgson",cooking,2013,,
A Baker's Field Guide to Holiday Candy & Confections,Dede Wilson,cooking,2005,,
Immunity Foods for Healthy Kids,Lucy Burney,cooking,2004,,
Instant Entertaining,Donna Hay,cooking,2006,,
Boost Your Child's Immune System,Lucy Burney,cooking,2001,,
No Place Like Home,Rowley Leigh,cooking,2000,,
100 Magnificent Muffins & Scones,Felicity Barnum-Bobb,cooking,2006,,
Alkaline Diet,Michelle Ellen Gleen,cooking,2022,,
Murder Faux Paws,T. C. LoTempio,cooking,2022,,
Duck Soup,Jackie Urbanovic,cooking,2008,"Maxwell Duck is trying to invent a soup that everyone will remember him for, but when he goes out to look for the missing ingredient and his friends show up, they think he has fallen into the soup.",
Kasandrinos Kitchen,Kasandrinos International,cooking,2021,,
Keto Meal Prep for Lazy People,Clarissa Fleming,cooking,2018,,
Soul of a Chef,Michael Ruhlman,cooking,1999,,2.0
Vegetarian Ideas,Ryan Jacobs,cooking,2022,,
What's for Dinner?,Fay Ripley,cooking,2012,,
Cooking With Kids,Linda Collister,cooking,2003,,
Authentic East African Swahili Cuisine,Miriam Malaquias,cooking,2021,,
Theoretical Gastronomy,Bobby Chan,cooking,2019,,
Ayurveda a la Mexicana,"Iris Campion, Jacqueline Brieño, Daniela Vendramin",cooking,2022,,
Murder for Good Measure,Devon Delaney,cooking,2022,,
Fassionola,"Gregorio Pantoja, Martin Lindsay",cooking,2023,,
Unorthodox Chef,Jaimeus J. Barnes,cooking,2010,,
Simply Gluten Free Cooking,Dawn Lucan,cooking,2010,,
Global Fusion Americana E-Series,Keith Murphy,cooking,2022,,
The food of southern Italy,Carlo Middione,cooking,1987,,
The 8-week cholesterol cure cookbook,Robert E. Kowalski,cooking,1989,,
There's a Rat in My Soup,"Chana Stiefel, Gerald Kelley",cooking,2012,,
I Can Be a Chef,Miller Slenzak,cooking,2018,,
"Mischief, Murder and Merlot",J. C. Eaton,cooking,2022,,
Food Bridges,"Arlena Strode, Indos Studio",cooking,2022,,
Blue Chair Cooks with Jam and Marmalade,Saunders Rachel,cooking,2014,,
